timestamp,phase,error_injected,load_level,group,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782207763,error_injection,1,260,core,frontend,1,2,1,1,504.629082584646,84.6,0.025610716797351656,0.9999310710498409,560.9380428256079,85.7,0.028004667117798514,1.741764705882349
1782207858,error_injection,1,260,core,frontend,2,1,-1,-1,553.3717515884074,86.93333333333334,0.02799079722403224,1.5757142857142772,514.2852325351917,85.9,0.025223127374197195,0.9783305369127515
1782207954,error_injection,1,260,core,frontend,1,2,1,1,549.0325659352435,87.73333333333333,0.026595744377708085,0.9873658872077028,549.4043676458275,86.23333333333333,0.024739079728576578,0.9699308755760366
1782208050,error_injection,1,260,core,frontend,2,3,1,1,459.66554111336364,86.66666666666667,0.021923076670118346,0.9854356568364612,496.8327017143819,86.23333333333333,0.022419791004022523,0.9856587202007531
1782208146,error_injection,1,260,core,frontend,3,4,1,1,552.959711726709,85.26666666666667,0.022673963768483615,0.9794627383015599,460.76414688343124,86.46666666666667,0.02274479541929689,0.9836272040302265
1782208242,error_injection,1,260,core,frontend,4,3,-1,-1,554.3980683295603,86.7,0.03460207572546625,0.9693661971830984,554.6532905376281,85.8,0.0291375287979309,0.9847893432465922
1782208338,error_injection,1,260,core,recommendationservice,1,2,1,1,104.32407310112868,57.90771998242219,0,0.024995585615592057,86.95375318277976,58.43031393721255,0,0.024907130011621183
1782208434,error_injection,1,260,core,frontend,3,4,1,1,509.17145751879866,87.73333333333333,0.027682972760474933,0.9721808510638296,560.8642229209867,87.611681557541,0.024733637465026565,0.9702272727272725
1782208530,error_injection,1,260,core,frontend,4,5,1,1,558.4631015124772,85.1,0.02154328215969508,0.9733954451345755,410.58523752826744,86.06666666666665,0.022075909890674945,0.9866469893742619
1782208625,error_injection,1,260,core,frontend,5,5,0,0,382.08534519003615,85.36666666666666,0.028114017632401202,0.9779576271186441,567.3394698509697,87.73333333333333,0.024316109145333102,0.9728747433264887
1782208721,error_injection,1,260,core,frontend,5,4,-1,-1,474.3055239075183,86.7,0.02383698549976564,0.9818189655172412,466.83454667165955,88.93333333333332,0.02211394277982823,0.9789314194577352
1782208817,error_injection,1,260,core,frontend,4,4,0,0,568.3271298602064,87.86666666666667,0.02579666131490901,0.9797852760736198,518.635609462965,87.8,0.020121488001653517,0.9753605313092978
